순위,관광지명,주소,latitude,longitude,분류,외지인 검색 수
,,,33.3891231,126.4877217,,56546
,,,33.4516845,126.4901736,,56132
,,,33.4510519,126.4073322,,55866
,,,33.48693109,126.3912448,,55859
,,,33.4622621,126.3103762,,55706
,,,33.4267705,126.6521762,,55546
,,,33.5415696,126.7286033,,54940
,,,33.294853,126.1675038,,53560
,,,33.45854602,126.4852857,,53285
,,,33.47249706,126.3504654,,51392
,,,33.47064253,126.3544424,,49077
,,,33.4761387,126.5445478,,48170
,,,33.4525908,126.5126102,,46288
,,,33.4276177,126.7525691,,45944
,,,33.45807143,126.7805467,,45868
,,,33.52267348,126.5371389,,44775
,,,33.50944958,126.9434306,,44291
,,,33.32144,126.26401,,44199
,,,33.41130703,126.3720007,,43882
,,,33.4803203,126.6361123,,43333
,,,33.48021776,126.529076,,43270
,,, 33.50147947369831,126.9435908,,42580
,,,33.4278172,126.2887692,,41378
,,, 33.54239522288009,126.6668598,,41097
,,,33.49818787,126.9663426,,40998
,,,33.42171565,126.5587403,,40596
,,,33.4897772,126.4945884,,40348
,,,33.3758009,126.2394233,,39801
,,,33.47768043,126.821523,,39442
,,,33.4112312,126.2572453,,38935
,,,33.34826322,126.3856371,,38928
,,,33.53748519,126.6164024,,38551
,,,33.381401,126.2180265,,37985
